assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
56,16,47,0.49299,3,82,27,Malkin,0,82,8471215,-12,83,1.01219,C,11,36,20222023,0,0,0.1125,L,240,Evgeni Malkin,PIT,1114.8292
60,24,66,0.52979,9,82,33,Crosby,1,52,8471675,8,93,1.13414,C,9,27,20222023,0,0,0.12941,L,255,Sidney Crosby,PIT,1208.6097
50,20,49,0.53813,6,81,34,Stamkos,2,46,8474564,-5,84,1.03703,C,14,35,20222023,0,0,0.14166,R,240,Steven Stamkos,TBL,1141.2469
76,20,74,0.0,4,82,25,Karlsson,2,36,8474578,-26,101,1.2317,D,5,27,20222023,0,0,0.11961,R,209,Erik Karlsson,SJS,1536.9024
47,21,57,0.5,3,79,36,Hyman,0,39,8475786,13,83,1.05063,L,15,26,20222023,0,0,0.13043,R,276,Zach Hyman,EDM,1209.0379
83,22,63,1.0,4,82,30,Kucherov,0,36,8476453,-2,113,1.37804,R,8,50,20222023,0,0,0.1107,L,271,Nikita Kucherov,TBL,1207.939
67,21,47,0.45161,3,82,37,Nugent-Hopkins,0,35,8476454,12,104,1.26829,C,15,53,20222023,1,4,0.18407,L,201,Ryan Nugent-Hopkins,EDM,1188.0731
52,18,50,0.49499,5,82,39,Zibanejad,0,20,8476459,25,91,1.10975,C,20,39,20222023,1,2,0.15537,R,251,Mika Zibanejad,NYR,1197.7317
69,30,77,0.44434,9,71,42,MacKinnon,2,30,8477492,29,111,1.56338,C,12,34,20222023,0,0,0.11475,R,366,Nathan MacKinnon,COL,1339.0422
76,19,64,0.54897,11,80,52,Draisaitl,1,24,8477934,7,128,1.6,C,32,62,20222023,1,2,0.21052,L,247,Leon Draisaitl,EDM,1304.0375
47,31,59,0.42372,5,82,40,Nylander,3,28,8477939,10,87,1.06097,R,9,28,20222023,0,0,0.13651,R,293,William Nylander,TOR,1112.5243
52,43,76,0.42105,13,82,61,Pastrnak,4,38,8477956,34,113,1.37804,R,18,37,20222023,0,0,0.14987,R,407,David Pastrnak,BOS,1173.8658
44,31,65,0.50729,9,82,51,Point,1,7,8478010,2,95,1.15853,C,20,30,20222023,0,0,0.21702,R,235,Brayden Point,TBL,1180.1829
89,39,75,0.51928,11,82,64,McDavid,2,36,8478402,22,153,1.86585,C,21,71,20222023,4,7,0.18181,L,352,Connor McDavid,EDM,1343.1341
50,42,68,0.49006,9,82,55,Rantanen,3,82,8478420,15,105,1.28048,R,13,37,20222023,0,0,0.17973,L,306,Mikko Rantanen,COL,1333.4512
69,17,58,0.0,4,80,30,Marner,2,28,8478483,18,99,1.2375,R,9,36,20222023,4,5,0.15306,R,196,Mitchell Marner,TOR,1276.575
63,20,56,0.31578,4,82,29,Panarin,1,36,8478550,4,92,1.12195,L,9,36,20222023,0,0,0.14215,R,204,Artemi Panarin,NYR,1176.4634
69,26,72,0.44827,6,79,40,Tkachuk,0,123,8479314,29,109,1.37974,L,14,36,20222023,0,1,0.12422,L,322,Matthew Tkachuk,FLA,1226.1518
45,27,57,0.5243,8,74,40,Matthews,0,20,8479318,31,85,1.14864,C,13,28,20222023,0,0,0.12232,L,327,Auston Matthews,TOR,1216.7027
49,30,65,0.3492,4,82,37,Keller,2,49,8479343,-2,86,1.04878,R,6,20,20222023,1,1,0.16591,L,223,Clayton Keller,ARI,1245.0121
47,26,59,0.4305,7,78,47,Thompson,1,39,8479420,4,94,1.20512,C,20,34,20222023,1,1,0.15932,R,295,Tage Thompson,BUF,1115.4102
63,28,68,0.44332,6,80,39,Pettersson,3,14,8480012,16,102,1.275,C,6,25,20222023,5,9,0.15175,L,257,Elias Pettersson,VAN,1233.2875
63,33,68,0.0,7,82,46,Robertson,1,20,8480027,37,109,1.32926,L,13,41,20222023,0,0,0.14696,L,313,Jason Robertson,DAL,1130.3292
48,24,54,0.48366,6,82,35,Tkachuk,2,126,8480801,-10,83,1.01219,L,11,29,20222023,0,0,0.10086,L,347,Brady Tkachuk,OTT,1117.9268
56,34,68,0.35344,6,78,43,Hughes,1,6,8481559,10,99,1.26923,C,9,31,20222023,0,0,0.12797,L,336,Jack Hughes,NJD,1197.9615
51,26,59,0.41563,3,78,39,Stützle,1,54,8482116,-3,90,1.15384,C,10,28,20222023,3,3,0.17105,L,228,Tim Stützle,OTT,1275.8974
